company_name,website,description,industry,headquarters,estimated_size,linkedin,founded,enriched_at
Nous Research,https://www.rootdata.com,"Nous Research is a decentralized AI gas pedal company and research institute dedicated to developing AI models and tools, with a focus on deeply integrating",AI/Machine Learning,,,https://www.linkedin.com/company/nousresearch,,2026-06-07T21:28:32.580097
Anthropic,https://www.trueup.io,Anthropic is an artificial intelligence company that develops large language models and AI systems for business and research use.,AI/Machine Learning,,,,,2026-06-07T21:28:37.798707
Hugging Face,https://www.ibm.com,"Hugging Face  is a company that maintains a huge open-source community of the same name that builds tools, machine learning models and platforms for working with artificial intelligence, with a focus ",AI/Machine Learning,,,,,2026-06-07T21:28:42.640286
